"metabolite","super_pathway","sub_pathway","fluid","platform_name","platform_unit","retention_index","CAS","PubChem","ChEBI"
"1-(1-enyl-oleoyl)-GPC (P-18:1)*","Lipids","Lysoplasmalogen","plasma","Metabolon HD4 [nt-ms]","normalized counts","1547",NA,"","CHEBI:136125"
"1-(1-enyl-oleoyl)-GPE (P-18:1)*","Lipids","Lysoplasmalogen","plasma","Metabolon HD4 [nt-ms]","normalized counts","6250",NA,"","CHEBI:133229"
"1-(1-enyl-palmitoyl)-GPC (P-16:0)*","Lipids","Lysoplasmalogen","plasma","Metabolon HD4 [nt-ms]","normalized counts","1547",NA,"","CHEBI:73841"
"1-(1-enyl-palmitoyl)-GPE (P-16:0)*","Lipids","Lysoplasmalogen","plasma","Metabolon HD4 [nt-ms]","normalized counts","1558",NA,"42607469","CHEBI:138421"
"1-(1-enyl-stearoyl)-GPC (P-18:0) *","Lipids","Lysoplasmalogen","plasma","Metabolon HD4 [nt-ms]","normalized counts","1560",NA,"24779527","CHEBI:88779"
"1-(1-enyl-stearoyl)-GPE (P-18:0)*","Lipids","Lysoplasmalogen","plasma","Metabolon HD4 [nt-ms]","normalized counts","6500",NA,"42607470","CHEBI:87823"
"1-adrenoyl-GPC (22:4)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1512",NA,"","CHEBI:131984"
"1-arachidonoyl-GPC (20:4n6)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1460",NA,"","CHEBI:91310"
"1-arachidonoyl-GPE (20:4n6)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1450",NA,"","CHEBI:136143"
"1-arachidonoyl-GPI (20:4)*","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","5482",NA,"","CHEBI:166934"
"1-arachidonylglycerol (20:4)","Lipids","Monoacylglycerol","plasma","Metabolon HD4 [nt-ms]","normalized counts","6450","35474-99-8","16019980","CHEBI:34071"
"1-arachidoyl-GPC (20:0)","Lipids","Lysolipid","plasma","Metabolon HD4 [nt-ms]","normalized counts","1706",NA,"24779473","CHEBI:74968"
