metabolite,platform_name,super_pathway,sub_pathway,challenge.x,p_value_fasting,significant.x,challenge.y,p_value_pat,significant.y,challenge,p_value_oltt,significant
"1,5-anhydroglucitol (1,5-ag)",Metabolon HD4 [nt-ms],Carbohydrates,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",Fasting,0.310762967861912,FALSE,PAT,0.710626785360319,FALSE,OLTT,0.00117443061386373,FALSE
"1,7-dimethylurate",Metabolon HD4 [nt-ms],Xenobiotics,Xanthine Metabolism,Fasting,0.0017709432999441,FALSE,PAT,0.00357848281675732,FALSE,OLTT,1.23176419679439e-06,TRUE
1-(1-enyl-oleoyl)-gpc (p-18:1),Metabolon HD4 [nt-ms],Lipids,Lysoplasmalogen,Fasting,0.012428011061748,FALSE,PAT,0.167249794892072,FALSE,OLTT,0.000982749995962466,FALSE
1-(1-enyl-oleoyl)-gpe (p-18:1),Metabolon HD4 [nt-ms],Lipids,Lysoplasmalogen,Fasting,0.00285318565869835,FALSE,PAT,0.461764696640978,FALSE,OLTT,0.000188066656981186,FALSE
1-(1-enyl-palmitoyl)-gpc (p-16:0),Metabolon HD4 [nt-ms],Lipids,Lysoplasmalogen,Fasting,0.0240512097488189,FALSE,PAT,0.114467625254258,FALSE,OLTT,2.55619993736537e-11,TRUE
1-(1-enyl-palmitoyl)-gpe (p-16:0),Metabolon HD4 [nt-ms],Lipids,Lysoplasmalogen,Fasting,0.00335503909775677,FALSE,PAT,0.0170835109013501,FALSE,OLTT,0.00582161646437984,FALSE
1-(1-enyl-stearoyl)-gpc (p-18:0),Metabolon HD4 [nt-ms],Lipids,Lysoplasmalogen,Fasting,0.00741966597871323,FALSE,PAT,0.00276645793894124,FALSE,OLTT,0.000146304442380529,FALSE
1-(1-enyl-stearoyl)-gpe (p-18:0),Metabolon HD4 [nt-ms],Lipids,Lysoplasmalogen,Fasting,0.00267715177603063,FALSE,PAT,0.767244407119102,FALSE,OLTT,0.00146719378920274,FALSE
1-adrenoyl-gpc (22:4),Metabolon HD4 [nt-ms],Lipids,Lysolipid,Fasting,0.000923839633998488,FALSE,PAT,0.00472912599399456,FALSE,OLTT,0.00393341481725588,FALSE
1-arachidonoyl-gpc (20:4n6),Metabolon HD4 [nt-ms],Lipids,Lysolipid,Fasting,3.26816850392809e-06,TRUE,PAT,0.000353341659827361,FALSE,OLTT,0.00107249937101893,FALSE
1-arachidonoyl-gpe (20:4n6),Metabolon HD4 [nt-ms],Lipids,Lysolipid,Fasting,8.07292730821896e-15,TRUE,PAT,0.0288138642254463,FALSE,OLTT,4.68948624600895e-05,TRUE
1-arachidonoyl-gpi (20:4),Metabolon HD4 [nt-ms],Lipids,Lysolipid,Fasting,9.29127350942222e-07,TRUE,PAT,0.00169201824850169,FALSE,OLTT,0.000435703412157405,FALSE
1-arachidonylglycerol (20:4),Metabolon HD4 [nt-ms],Lipids,Monoacylglycerol,Fasting,0.132431790407171,FALSE,PAT,0.0547842223617483,FALSE,OLTT,0.00118021282333718,FALSE
1-arachidoyl-gpc (20:0),Metabolon HD4 [nt-ms],Lipids,Lysolipid,Fasting,1.98645775737882e-05,TRUE,PAT,0.00155668302444671,FALSE,OLTT,0.114056568440863,FALSE
1-behenoyl-gpc (22:0),Metabolon HD4 [nt-ms],Lipids,Lysolipid,Fasting,0.41253535604841,FALSE,PAT,0.0100665209578414,FALSE,OLTT,0.385551439026896,FALSE
1-dihomo-linolenoyl-gpc (20:3n3 or 6),Metabolon HD4 [nt-ms],Lipids,Lysolipid,Fasting,2.78937492301968e-07,TRUE,PAT,0.00295816582738156,FALSE,OLTT,0.0199360836083088,FALSE
1-dihomo-linolenoyl-gpe (20:3n3 or 6),Metabolon HD4 [nt-ms],Lipids,Lysolipid,Fasting,1.65334339144526e-06,TRUE,PAT,0.305550968826812,FALSE,OLTT,0.000650330354706582,FALSE
1-dihomo-linoleoyl-gpc (20:2),Metabolon HD4 [nt-ms],Lipids,Lysolipid,Fasting,1.71798397250243e-07,TRUE,PAT,0.0142304702156306,FALSE,OLTT,0.02484962449444,FALSE
1-docosahexaenoyl-gpc (22:6),Metabolon HD4 [nt-ms],Lipids,Lysolipid,Fasting,7.09235928665297e-16,TRUE,PAT,3.30546368557452e-06,TRUE,OLTT,0.00827007561361052,FALSE
1-docosahexaenoyl-gpe (22:6),Metabolon HD4 [nt-ms],Lipids,Lysolipid,Fasting,7.15889686184366e-25,TRUE,PAT,4.54021918896364e-08,TRUE,OLTT,4.7310375755437e-06,TRUE
1-docosapentaenoyl-gpc (22:5n3),Metabolon HD4 [nt-ms],Lipids,Lysolipid,Fasting,2.54581342920598e-07,TRUE,PAT,1.23538629236299e-07,TRUE,OLTT,0.0293169893820563,FALSE
1-docosapentaenoyl-gpc (22:5n6),Metabolon HD4 [nt-ms],Lipids,Lysolipid,Fasting,1.01181399494566e-07,TRUE,PAT,9.10295582430318e-05,FALSE,OLTT,0.0272206303344634,FALSE
1-eicosapentaenoyl-gpc (20:5),Metabolon HD4 [nt-ms],Lipids,Lysolipid,Fasting,0.0016242415484741,FALSE,PAT,0.00507799707897194,FALSE,OLTT,0.32857359175866,FALSE
1-eicosapentaenoyl-gpe (20:5),Metabolon HD4 [nt-ms],Lipids,Lysolipid,Fasting,0.0111794183865949,FALSE,PAT,0.436279055817914,FALSE,OLTT,0.0559108582735115,FALSE
1-eicosenoyl-gpc (20:1),Metabolon HD4 [nt-ms],Lipids,Lysolipid,Fasting,0.00979805092870436,FALSE,PAT,0.0902214546000742,FALSE,OLTT,0.0301022277884927,FALSE
1-linolenoyl-gpc (18:3),Metabolon HD4 [nt-ms],Lipids,Lysolipid,Fasting,2.35398829578599e-12,TRUE,PAT,0.00200322507936136,FALSE,OLTT,5.0975734975683e-16,TRUE
1-linoleoyl-gpc (18:2),Metabolon HD4 [nt-ms],Lipids,Lysolipid,Fasting,6.34520492910916e-06,TRUE,PAT,0.00321619423851563,FALSE,OLTT,1.74058251843287e-27,TRUE
1-linoleoyl-gpe (18:2),Metabolon HD4 [nt-ms],Lipids,Lysolipid,Fasting,1.051461600577e-07,TRUE,PAT,3.57310301027271e-07,TRUE,OLTT,2.12195673370515e-60,TRUE
1-linoleoyl-gpi (18:2),Metabolon HD4 [nt-ms],Lipids,Lysolipid,Fasting,2.80143632794827e-05,TRUE,PAT,0.080263750107043,FALSE,OLTT,0.000157575158224078,FALSE
1-linoleoylglycerol (18:2),Metabolon HD4 [nt-ms],Lipids,Monoacylglycerol,Fasting,0.562679941148918,FALSE,PAT,0.186065239290918,FALSE,OLTT,5.4805098263393e-06,TRUE
1-margaroyl-gpc (17:0),Metabolon HD4 [nt-ms],Lipids,Lysolipid,Fasting,0.122350569202461,FALSE,PAT,0.00131976916707773,FALSE,OLTT,4.26648603054161e-07,TRUE
