metabolite,platform_name,super_pathway,sub_pathway,challenge_time,challenge,mean_response,log2_foldchange,p_value,neg_log10_p_value,abs_log2_foldchange
3-hydroxybutyrylcarnitine (1),Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),1920,Fasting,3.60430350245274,4.16131058127829,1.41493016963943e-114,113.849264993135,4.16131058127829
succinate,Metabolon HD4 [nt-ms],Energy,TCA Cycle,30,PAT,3.85813376039068,4.1349735152855,4.27261022007753e-77,76.3693067250135,4.1349735152855
lactate,Metabolon HD4 [nt-ms],Carbohydrates,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",30,PAT,3.56155270495292,3.84221578648686,1.4515217677995e-44,43.8381764468703,3.84221578648686
2-hydroxybutyrate/2-hydroxyisobutyrate,Metabolon HD4 [nt-ms],Amino Acids,"Methionine, Cysteine, SAM and Taurine Metabolism",1920,Fasting,2.83205680672697,3.80254510374176,2.93072275304911e-77,76.5330252639621,3.80254510374176
o-acetylhomoserine,Metabolon HD4 [nt-ms],Amino Acids,"Glycine, Serine and Threonine Metabolism",1920,Fasting,-0.465019290222077,-3.65664098856637,2.6495403138587e-50,49.5768294681281,3.65664098856637
malate,Metabolon HD4 [nt-ms],Energy,TCA Cycle,30,PAT,3.00375317876001,3.62809401369178,1.60825157388787e-50,49.7936460149125,3.62809401369178
o-acetylhomoserine,Metabolon HD4 [nt-ms],Amino Acids,"Glycine, Serine and Threonine Metabolism",960,Fasting,-0.415018337462696,-3.60664003580699,2.6495403138587e-50,49.5768294681281,3.60664003580699
o-acetylhomoserine,Metabolon HD4 [nt-ms],Amino Acids,"Glycine, Serine and Threonine Metabolism",840,Fasting,-0.320520699557446,-3.51214239790174,2.6495403138587e-50,49.5768294681281,3.51214239790174
3-hydroxybutyrate (bhba),Metabolon HD4 [nt-ms],Lipids,Ketone Bodies,1920,Fasting,2.83102554028438,3.48266792694022,3.53079378918527e-105,104.452127646026,3.48266792694022
3-hydroxy-3-methylglutarate,Metabolon HD4 [nt-ms],Lipids,Mevalonate Metabolism,120,OLTT,2.64564622450787,3.46930013818219,9.66999705213077e-40,39.0145736583103,3.46930013818219
o-acetylhomoserine,Metabolon HD4 [nt-ms],Amino Acids,"Glycine, Serine and Threonine Metabolism",720,Fasting,-0.231688444566785,-3.42331014291108,2.6495403138587e-50,49.5768294681281,3.42331014291108
mannitol/sorbitol,Metabolon HD4 [nt-ms],Carbohydrates,"Fructose, Mannose and Galactose Metabolism",1920,Fasting,-0.779249682141279,-3.37807693470978,1.12230387151151e-75,74.9498895389326,3.37807693470978
fumarate,Metabolon HD4 [nt-ms],Energy,TCA Cycle,30,PAT,2.99118068431461,3.35342651509667,1.34945731772201e-20,19.8698408472845,3.35342651509667
alpha-hydroxyisocaproate,Metabolon HD4 [nt-ms],Amino Acids,"Leucine, Isoleucine and Valine Metabolism",1920,Fasting,2.54664653832552,3.3303719120514,6.75315919025682e-43,42.1704930126617,3.3303719120514
adipoylcarnitine,Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),1920,Fasting,2.90174344372915,3.32160455958191,2.0093166038302e-52,51.6969516269834,3.32160455958191
o-acetylhomoserine,Metabolon HD4 [nt-ms],Amino Acids,"Glycine, Serine and Threonine Metabolism",600,Fasting,-0.104569487960622,-3.29619118630492,2.6495403138587e-50,49.5768294681281,3.29619118630492
mannitol/sorbitol,Metabolon HD4 [nt-ms],Carbohydrates,"Fructose, Mannose and Galactose Metabolism",960,Fasting,-0.683928246478885,-3.28275549904738,1.12230387151151e-75,74.9498895389326,3.28275549904738
2-aminophenol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Chemical,1920,Fasting,-0.486080150957453,-3.25350579303323,2.76861567710467e-91,90.5577373262684,3.25350579303323
mannitol/sorbitol,Metabolon HD4 [nt-ms],Carbohydrates,"Fructose, Mannose and Galactose Metabolism",840,Fasting,-0.604104320515917,-3.20293157308441,1.12230387151151e-75,74.9498895389326,3.20293157308441
3-hydroxybutyrylcarnitine (2),Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),1920,Fasting,2.46878587722335,3.19791814896146,8.2488898650323e-56,55.0836044948357,3.19791814896146
catechol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,1920,Fasting,-1.59071979084372,-3.17226685392654,1.20508850451912e-230,229.918981056315,3.17226685392654
glycocholate,Metabolon HD4 [nt-ms],Lipids,Primary Bile Acid Metabolism,90,OLTT,2.64358670268233,3.13313763786172,5.60749432256877e-21,20.2512311574558,3.13313763786172
2-aminophenol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Chemical,960,Fasting,-0.349549037466942,-3.11697467954272,2.76861567710467e-91,90.5577373262684,3.11697467954272
mannitol/sorbitol,Metabolon HD4 [nt-ms],Carbohydrates,"Fructose, Mannose and Galactose Metabolism",720,Fasting,-0.509087028665643,-3.10791428123414,1.12230387151151e-75,74.9498895389326,3.10791428123414
acetoacetate,Metabolon HD4 [nt-ms],Lipids,Ketone Bodies,1920,Fasting,2.4597349305577,3.10735817707143,5.04110482025306e-80,79.2974742721345,3.10735817707143
3-hydroxyisobutyrate,Metabolon HD4 [nt-ms],Amino Acids,"Leucine, Isoleucine and Valine Metabolism",1920,Fasting,2.15772475737664,3.0513096012647,4.80761158291138e-22,21.318070627156,3.0513096012647
catechol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,960,Fasting,-1.46473721394408,-3.0462842770269,1.20508850451912e-230,229.918981056315,3.0462842770269
2-aminophenol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Chemical,840,Fasting,-0.277549254279432,-3.04497489635521,2.76861567710467e-91,90.5577373262684,3.04497489635521
o-acetylhomoserine,Metabolon HD4 [nt-ms],Amino Acids,"Glycine, Serine and Threonine Metabolism",480,Fasting,0.170732892777039,-3.02088880556726,2.6495403138587e-50,49.5768294681281,3.02088880556726
alpha-ketobutyrate,Metabolon HD4 [nt-ms],Amino Acids,"Methionine, Cysteine, SAM and Taurine Metabolism",1920,Fasting,2.43609543786792,2.99353495623498,9.50891327156272e-56,55.0218691136758,2.99353495623498
acetylcarnitine,Metabolon HD4 [nt-ms],Lipids,Fatty Acid Metabolism (Acyl Carnitine),1920,Fasting,2.04499118781564,2.9882578042296,8.87166345168411e-89,88.0519949415939,2.9882578042296
2-aminobutyrate,Metabolon HD4 [nt-ms],Amino Acids,"Methionine, Cysteine, SAM and Taurine Metabolism",1920,Fasting,2.7389395042126,2.97666870742198,2.70684885537318e-54,53.5675359936237,2.97666870742198
taurocholate,Metabolon HD4 [nt-ms],Lipids,Primary Bile Acid Metabolism,90,OLTT,2.5336313456027,2.97552129539576,2.60312171543397e-20,19.5845055248967,2.97552129539576
catechol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,840,Fasting,-1.38842242360988,-2.9699694866927,1.20508850451912e-230,229.918981056315,2.9699694866927
mannitol/sorbitol,Metabolon HD4 [nt-ms],Carbohydrates,"Fructose, Mannose and Galactose Metabolism",600,Fasting,-0.346321702665469,-2.94514895523397,1.12230387151151e-75,74.9498895389326,2.94514895523397
2-aminophenol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Chemical,720,Fasting,-0.164310097448648,-2.93173573952443,2.76861567710467e-91,90.5577373262684,2.93173573952443
leucine,Metabolon HD4 [nt-ms],Amino Acids,"Leucine, Isoleucine and Valine Metabolism",1920,Fasting,2.8028041156809,2.9058395960276,6.02975998400467e-41,40.2196999747084,2.9058395960276
hypoxanthine,Metabolon HD4 [nt-ms],Nucleotides,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",45,PAT,2.38772350179691,2.8778745493289,1.05824296946626e-36,35.9754146081194,2.8778745493289
catechol sulfate,Metabolon HD4 [nt-ms],Xenobiotics,Benzoate Metabolism,720,Fasting,-1.28210301749574,-2.86365008057857,1.20508850451912e-230,229.918981056315,2.86365008057857
hydantoin-5-propionic acid,Metabolon HD4 [nt-ms],Amino Acids,Histidine Metabolism,1920,Fasting,2.06238194556267,2.81068578430886,1.13149301349022e-19,18.946348123293,2.81068578430886
2-hydroxydecanoate,Metabolon HD4 [nt-ms],Lipids,"Fatty Acid, Monohydroxy",240,OLTT,1.75732260311402,2.8078889820629,3.99387675505015e-24,23.3986053409244,2.8078889820629
glycolithocholate,Metabolon HD4 [nt-ms],Lipids,Secondary Bile Acid Metabolism,90,OLTT,2.44879728039426,2.74712469686737,1.86218146684365e-22,21.7299779999343,2.74712469686737
